127.0.0.1 - - [17/Jan/2019:16:37:34 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Jan/2019:16:38:36 +0100] "GET /back/Battlefield HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [17/Jan/2019:16:38:36 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2019:17:32:38 +0100] "GET /back/Battlefield HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [17/Jan/2019:17:32:38 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2019:17:32:41 +0100] "GET /back/Battlefield HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [17/Jan/2019:17:32:41 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2019:18:53:33 +0100] "GET /back/Battlefield HTTP/1.1" 500 2167
0:0:0:0:0:0:0:1 - - [17/Jan/2019:18:53:33 +0100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jan/2019:18:53:34 +0100] "GET /back/Battlefield HTTP/1.1" 500 2167
0:0:0:0:0:0:0:1 - - [17/Jan/2019:18:55:31 +0100] "GET /back/Battlefield HTTP/1.1" 200 102
